Agency;Distribution;Industry;LOB;Master Agency;Office;Pol Eff Yrmo;Pol Proc Yrmo;POL_EFF_Yr;Policy ID;Risk State;Snapshot Date;F23;Issues;New Issued Premium;Number of Records;Quotes;Rateable Manual Premium;Rateable Manual Schedule Premium
I5;Agency Plant;Restaurants;WC;Master Agent I;NE;1.02.2018;1.10.2018;2018;36062592;VA;12/31/2018;;1;11448,84;1;1;13962;11448,84
D7;Agency Plant;Restaurants;WC;Master Agent D;NE;1.03.2018;1.10.2018;2018;16511652;WI;12/31/2018;;1;1581,12;1;1;1952;1581,12
L8;Agency Plant;Restaurants;WC;Master Agent L;NE;1.05.2018;1.10.2018;2018;7432941;MS;12/31/2018;;1;13384,06;1;1;13798;13384,06
B4;Agency Plant;Restaurants;WC;Master Agent B;NE;1.06.2018;1.11.2018;2018;68404026;FL;12/31/2018;;1;15857,56;1;1;16348;15857,56
V6;Agency Plant;Restaurants;WC;Master Agent V;NE;1.12.2018;1.11.2018;2018;91283994;VA;12/31/2018;;1;6491,1;1;1;8430;6491,1
N1;Agency Plant;Retail Trade;WC;Master Agent N;NE;1.03.2018;1.01.2018;2018;5384792;WA;12/31/2018;;1;5745,74;1;1;5863;5745,74
S6;Agency Plant;Retail Trade;WC;Master Agent S;NE;1.08.2018;1.01.2018;2018;61602686;ME;12/31/2018;;1;3714,7;1;1;3377;3714,7
Q5;Agency Plant;Retail Trade;WC;Master Agent Q;NE;1.03.2018;1.03.2018;2018;70001165;NV;12/31/2018;;1;5760,42;1;1;6194;5760,42
C7;Agency Plant;Retail Trade;WC;Master Agent C;NE;1.09.2018;1.04.2018;2018;13553549;TX;12/31/2018;;1;3408,5;1;1;4010;3408,5
J1;Agency Plant;Retail Trade;WC;Master Agent J;NE;1.09.2018;1.06.2018;2018;100934429;AL;12/31/2018;;1;4115,02;1;1;4199;4115,02
Z4;Agency Plant;Retail Trade;WC;Master Agent Z;NE;1.06.2018;1.07.2018;2018;22152515;IA;12/31/2018;;1;1363,66;1;1;1663;1363,66
B2;Agency Plant;Retail Trade;WC;Master Agent B;NE;1.08.2018;1.07.2018;2018;100941733;NH;12/31/2018;;1;4840,68;1;1;4524;4840,68
U3;Agency Plant;Retail Trade;WC;Master Agent U;NE;1.12.2018;1.07.2018;2018;61543042;CA;12/31/2018;;1;5864,04;1;1;7518;5864,04
G3;Agency Plant;Retail Trade;WC;Master Agent G;NE;1.09.2018;1.08.2018;2018;198338;CA;12/31/2018;;1;4574,64;1;1;4668;4574,64
Q3;Agency Plant;Retail Trade;WC;Master Agent Q;NE;1.10.2018;1.08.2018;2018;67693579;CA;12/31/2018;;1;5779,41;1;1;6351;5779,41
X2;Agency Plant;Retail Trade;WC;Master Agent X;NE;1.10.2018;1.09.2018;2018;96614455;NJ;12/31/2018;;1;1183,7;1;1;1246;1183,7
E2;Agency Plant;Retail Trade;WC;Master Agent E;NE;1.07.2018;1.10.2018;2018;26433677;MN;12/31/2018;;1;1128,8;1;1;1360;1128,8
Y1;Agency Plant;Retail Trade;WC;Master Agent Y;NE;1.08.2018;1.10.2018;2018;85821202;MD;12/31/2018;;1;4346,03;1;1;4303;4346,03
D5;Agency Plant;Retail Trade;WC;Master Agent D;NE;1.09.2018;1.10.2018;2018;83653067;MI;12/31/2018;;1;5371,92;1;1;4974;5371,92
O2;Agency Plant;Retail Trade;WC;Master Agent O;NE;1.09.2018;1.10.2018;2018;100383897;PA;12/31/2018;;1;2741,64;1;1;2948;2741,64
S5;Agency Plant;Retail Trade;WC;Master Agent S;NE;1.09.2018;1.10.2018;2018;54672276;WA;12/31/2018;;1;3069,26;1;1;3743;3069,26
I8;Agency Plant;Retail Trade;WC;Master Agent I;NE;1.07.2018;1.11.2018;2018;4599645;WA;12/31/2018;;1;5924,16;1;1;6171;5924,16
J8;Agency Plant;Retail Trade;WC;Master Agent J;NE;1.12.2018;1.11.2018;2018;36651380;NH;12/31/2018;;1;5516,94;1;1;7073;5516,94
B8;Agency Plant;Retail Trade;WC;Master Agent B;NE;1.09.2018;1.12.2018;2018;46653639;NC;12/31/2018;;1;841,08;1;1;978;841,08
D4;Agency Plant;Technology;WC;Master Agent D;NE;1.07.2018;1.01.2018;2018;60191172;GA;12/31/2018;;1;2164,03;1;1;2101;2164,03
B5;Agency Plant;Technology;WC;Master Agent B;NE;1.10.2018;1.01.2018;2018;21052167;CA;12/31/2018;;1;586,56;1;1;624;586,56
P4;Agency Plant;Technology;WC;Master Agent P;NE;1.07.2018;1.02.2018;2018;11428872;FL;12/31/2018;;1;4302,6;1;1;4260;4302,6
E6;Agency Plant;Technology;WC;Master Agent E;NE;1.11.2018;1.03.2018;2018;90052970;TN;12/31/2018;;1;1146,54;1;1;1182;1146,54
R6;Agency Plant;Technology;WC;Master Agent R;NE;1.11.2018;1.03.2018;2018;322626;OR;12/31/2018;;1;4558,38;1;1;4469;4558,38
K7;Agency Plant;Technology;WC;Master Agent K;NE;1.02.2018;1.04.2018;2018;108962539;MI;12/31/2018;;1;3955;1;1;3955;3955
K8;Agency Plant;Technology;WC;Master Agent K;NE;1.03.2018;1.04.2018;2018;91452485;IA;12/31/2018;;1;2220,7;1;1;2095;2220,7
R4;Agency Plant;Technology;WC;Master Agent R;NE;1.03.2018;1.05.2018;2018;50841552;CA;12/31/2018;;1;2007,84;1;1;2136;2007,84
U1;Agency Plant;Technology;WC;Master Agent U;NE;1.04.2018;1.05.2018;2018;120841588;IL;12/31/2018;;1;897,26;1;1;986;897,26
X1;Agency Plant;Technology;WC;Master Agent X;NE;1.09.2018;1.05.2018;2018;10316743;CT;12/31/2018;;1;546;1;1;520;546
X5;Agency Plant;Technology;WC;Master Agent X;NE;1.06.2018;1.06.2018;2018;91183325;VA;12/31/2018;;1;4996,53;1;1;5047;4996,53
A8;Agency Plant;Technology;WC;Master Agent A;NE;1.09.2018;1.06.2018;2018;99561310;CO;12/31/2018;;1;1985,88;1;1;2613;1985,88
I5;Agency Plant;Technology;WC;Master Agent I;NE;1.12.2018;1.06.2018;2018;750271;TX;12/31/2018;;1;1139,74;1;1;1163;1139,74
B2;Agency Plant;Technology;WC;Master Agent B;NE;1.02.2018;1.07.2018;2018;67332961;CT;12/31/2018;;1;3270,81;1;1;3517;3270,81
C3;Agency Plant;Technology;WC;Master Agent C;NE;1.04.2018;1.07.2018;2018;41774266;ID;12/31/2018;;1;2944,4;1;1;3464;2944,4
A5;Agency Plant;Technology;WC;Master Agent A;NE;1.11.2018;1.07.2018;2018;47552586;NC;12/31/2018;;1;2257,5;1;1;2150;2257,5
B5;Agency Plant;Technology;WC;Master Agent B;NE;1.11.2018;1.07.2018;2018;74532719;TX;12/31/2018;;1;829,35;1;1;855;829,35
Z2;Agency Plant;Technology;WC;Master Agent Z;NE;1.12.2018;1.07.2018;2018;39774334;NJ;12/31/2018;;1;1917,12;1;1;1997;1917,12
G5;Agency Plant;Technology;WC;Master Agent G;NE;1.03.2018;1.08.2018;2018;44563335;AL;12/31/2018;;1;1763;1;1;2050;1763
B3;Agency Plant;Technology;WC;Master Agent B;NE;1.03.2018;1.09.2018;2018;72121446;KY;12/31/2018;;1;2218,59;1;1;2673;2218,59
A2;Agency Plant;Technology;WC;Master Agent A;NE;1.07.2018;1.09.2018;2018;4896365;CO;12/31/2018;;1;4077,36;1;1;4854;4077,36
M2;Agency Plant;Technology;WC;Master Agent M;NE;1.11.2018;1.09.2018;2018;26914132;MN;12/31/2018;;1;3616;1;1;3616;3616
M4;Agency Plant;Technology;WC;Master Agent M;NE;1.12.2018;1.09.2018;2018;72962530;SC;12/31/2018;;1;4687,32;1;1;4422;4687,32
M3;Agency Plant;Technology;WC;Master Agent M;NE;1.07.2018;1.10.2018;2018;49623522;GA;12/31/2018;;1;2562,74;1;1;2642;2562,74
O8;Agency Plant;Technology;WC;Master Agent O;NE;1.07.2018;1.10.2018;2018;5169465;TN;12/31/2018;;1;697,92;1;1;727;697,92
S8;Agency Plant;Technology;WC;Master Agent S;NE;1.09.2018;1.10.2018;2018;75443418;OH;12/31/2018;;1;4858,92;1;1;4908;4858,92
U5;Agency Plant;Technology;WC;Master Agent U;NE;1.03.2018;1.12.2018;2018;43211042;NY;12/31/2018;;1;4362,75;1;1;4155;4362,75
K7;Agency Plant;Technology;WC;Master Agent K;NE;1.12.2018;1.12.2018;2018;10142575;GA;12/31/2018;;1;3021,84;1;1;2798;3021,84
O3;Agency Plant;Transportation;WC;Master Agent O;NE;1.11.2018;1.07.2018;2018;8031947;OR;12/31/2018;;1;2012,67;1;1;2033;2012,67
V6;Agency Plant;Transportation;WC;Master Agent V;NE;1.08.2018;1.11.2018;2018;60493753;WI;12/31/2018;;1;3999,24;1;1;4347;3999,24
M5;Agency Plant;Wholesale Trade;WC;Master Agent M;NE;1.02.2018;1.03.2018;2018;106064206;WI;12/31/2018;;1;6801,24;1;1;8949;6801,24
H3;Agency Plant;Wholesale Trade;WC;Master Agent H;NE;1.11.2018;1.05.2018;2018;37444286;GA;12/31/2018;;1;6768;1;1;7520;6768
B8;Agency Plant;Wholesale Trade;WC;Master Agent B;NE;1.09.2018;1.07.2018;2018;100062321;AL;12/31/2018;;1;7405,32;1;1;7332;7405,32
F4;Agency Plant;Wholesale Trade;WC;Master Agent F;NE;1.09.2018;1.07.2018;2018;1070056;MN;12/31/2018;;1;4160,1;1;1;4245;4160,1
N5;Agency Plant;Wholesale Trade;WC;Master Agent N;NE;1.08.2018;1.09.2018;2018;62551700;IA;12/31/2018;;1;5536,76;1;1;5708;5536,76
S8;Agency Plant;Wholesale Trade;WC;Master Agent S;NE;1.11.2018;1.09.2018;2018;27581626;IL;12/31/2018;;1;6581,19;1;1;8547;6581,19
O1;Agency Plant;Agriculture;WC;Master Agent O;SE;1.02.2018;1.01.2018;2018;94674212;VA;12/31/2018;;1;13732,2;1;1;12715;13732,2
K1;Agency Plant;Agriculture;WC;Master Agent K;SE;1.04.2018;1.02.2018;2018;58533280;GA;12/31/2018;;1;4754,7;1;1;5870;4754,7
O3;Agency Plant;Agriculture;WC;Master Agent O;SE;1.09.2018;1.02.2018;2018;13213783;NC;12/31/2018;;1;10542,94;1;1;11846;10542,94
R2;Agency Plant;Agriculture;WC;Master Agent R;SE;1.09.2018;1.03.2018;2018;2651773;MO;12/31/2018;;1;7725,78;1;1;9538;7725,78
H2;Agency Plant;Agriculture;WC;Master Agent H;SE;1.07.2018;1.07.2018;2018;2331117;CT;12/31/2018;;1;3850,2;1;1;4140;3850,2
C2;Agency Plant;Agriculture;WC;Master Agent C;SE;1.08.2018;1.07.2018;2018;27071358;TX;12/31/2018;;1;6338,88;1;1;6816;6338,88
I3;Agency Plant;Agriculture;WC;Master Agent I;SE;1.01.2018;1.09.2018;2018;570516;TX;12/31/2018;;1;4225,53;1;1;5091;4225,53
F3;Agency Plant;Agriculture;WC;Master Agent F;SE;1.09.2018;1.12.2018;2018;87673484;GA;12/31/2018;;1;6854,48;1;1;7292;6854,48
B1;Agency Plant;Construction;WC;Master Agent B;SE;1.05.2018;1.06.2018;2018;93632073;GA;12/31/2018;;1;10292,83;1;1;12401;10292,83
Q4;Agency Plant;Construction;WC;Master Agent Q;SE;1.08.2018;1.08.2018;2018;96293315;MS;12/31/2018;;1;10209,29;1;1;11219;10209,29
A6;Agency Plant;Construction;WC;Master Agent A;SE;1.01.2018;1.10.2018;2018;7821296;TN;12/31/2018;;1;11333,5;1;1;11930;11333,5
U3;Agency Plant;Construction;WC;Master Agent U;SE;1.02.2018;1.11.2018;2018;61284080;IL;12/31/2018;;1;12500,08;1;1;12136;12500,08
R5;Agency Plant;Construction;WC;Master Agent R;SE;1.12.2018;1.12.2018;2018;64832466;TX;12/31/2018;;1;11073;1;1;11073;11073
E4;Agency Plant;Consulting;WC;Master Agent E;SE;1.03.2018;1.01.2018;2018;15282571;UT;12/31/2018;;1;703,8;1;1;690;703,8
J4;Agency Plant;Consulting;WC;Master Agent J;SE;1.02.2018;1.02.2018;2018;84093712;OH;12/31/2018;;1;1730,9;1;1;1822;1730,9
E6;Agency Plant;Consulting;WC;Master Agent E;SE;1.03.2018;1.02.2018;2018;4626597;NJ;12/31/2018;;1;2761,72;1;1;2938;2761,72
D7;Agency Plant;Consulting;WC;Master Agent D;SE;1.07.2018;1.02.2018;2018;7962996;NJ;12/31/2018;;1;1996,33;1;1;2527;1996,33
L3;Agency Plant;Consulting;WC;Master Agent L;SE;1.07.2018;1.02.2018;2018;50433110;NJ;12/31/2018;;1;2645,56;1;1;3481;2645,56
Y2;Agency Plant;Consulting;WC;Master Agent Y;SE;1.03.2018;1.03.2018;2018;46222800;NY;12/31/2018;;1;3765,58;1;1;4138;3765,58
K5;Agency Plant;Consulting;WC;Master Agent K;SE;1.08.2018;1.03.2018;2018;86462943;FL;12/31/2018;;1;3102,3;1;1;3447;3102,3
Q1;Agency Plant;Consulting;WC;Master Agent Q;SE;1.10.2018;1.03.2018;2018;42864139;NY;12/31/2018;;1;3805,55;1;1;4585;3805,55
G1;Agency Plant;Consulting;WC;Master Agent G;SE;1.02.2018;1.04.2018;2018;834483;GA;12/31/2018;;1;2647,78;1;1;3229;2647,78
S8;Agency Plant;Consulting;WC;Master Agent S;SE;1.06.2018;1.05.2018;2018;2608420;NY;12/31/2018;;1;5341,74;1;1;5237;5341,74
P7;Agency Plant;Consulting;WC;Master Agent P;SE;1.09.2018;1.06.2018;2018;88723891;CA;12/31/2018;;1;2606,52;1;1;3103;2606,52
R1;Agency Plant;Consulting;WC;Master Agent R;SE;1.03.2018;1.07.2018;2018;119501012;CA;12/31/2018;;1;2862,34;1;1;2626;2862,34
R6;Agency Plant;Consulting;WC;Master Agent R;SE;1.05.2018;1.07.2018;2018;6335704;NC;12/31/2018;;1;4953,48;1;1;5897;4953,48
D6;Agency Plant;Consulting;WC;Master Agent D;SE;1.11.2018;1.07.2018;2018;9234454;PA;12/31/2018;;1;3257,68;1;1;3788;3257,68
A6;Agency Plant;Consulting;WC;Master Agent A;SE;1.12.2018;1.07.2018;2018;100091665;TX;12/31/2018;;1;4170,87;1;1;4213;4170,87
B4;Agency Plant;Consulting;WC;Master Agent B;SE;1.05.2018;1.09.2018;2018;25823625;SC;12/31/2018;;1;3113,46;1;1;3177;3113,46
O8;Agency Plant;Consulting;WC;Master Agent O;SE;1.11.2018;1.10.2018;2018;777648;MO;12/31/2018;;1;2273,86;1;1;2773;2273,86
S7;Agency Plant;Consulting;WC;Master Agent S;SE;1.05.2018;1.12.2018;2018;97922995;SD;12/31/2018;;1;6220;1;1;6220;6220
X5;Agency Plant;Finance & Insurance;WC;Master Agent X;SE;1.04.2018;1.01.2018;2018;69632216;CA;12/31/2018;;1;1900,68;1;1;2022;1900,68
H4;Agency Plant;Finance & Insurance;WC;Master Agent H;SE;1.10.2018;1.01.2018;2018;6865137;PA;12/31/2018;;1;3655,4;1;1;3730;3655,4
Q4;Agency Plant;Finance & Insurance;WC;Master Agent Q;SE;1.12.2018;1.01.2018;2018;112101416;CT;12/31/2018;;1;1586,81;1;1;1483;1586,81
T1;Agency Plant;Finance & Insurance;WC;Master Agent T;SE;1.01.2018;1.02.2018;2018;49231965;DE;12/31/2018;;1;1686,08;1;1;1916;1686,08
L3;Agency Plant;Finance & Insurance;WC;Master Agent L;SE;1.09.2018;1.02.2018;2018;87613799;IL;12/31/2018;;1;2479,21;1;1;2407;2479,21
P4;Agency Plant;Finance & Insurance;WC;Master Agent P;SE;1.09.2018;1.02.2018;2018;10849493;CA;12/31/2018;;1;4192,35;1;1;4413;4192,35
C1;Agency Plant;Finance & Insurance;WC;Master Agent C;SE;1.05.2018;1.05.2018;2018;6141543;WY;12/31/2018;;1;2595,6;1;1;3090;2595,6
O8;Agency Plant;Finance & Insurance;WC;Master Agent O;SE;1.12.2018;1.05.2018;2018;34332370;OH;12/31/2018;;1;827,32;1;1;962;827,32
K4;Agency Plant;Finance & Insurance;WC;Master Agent K;SE;1.02.2018;1.06.2018;2018;60544160;WA;12/31/2018;;1;835,24;1;1;1099;835,24
D8;Agency Plant;Finance & Insurance;WC;Master Agent D;SE;1.08.2018;1.06.2018;2018;92384243;NY;12/31/2018;;1;2701,02;1;1;2478;2701,02
X7;Agency Plant;Finance & Insurance;WC;Master Agent X;SE;1.09.2018;1.06.2018;2018;2833084;CA;12/31/2018;;1;5169,5;1;1;5275;5169,5
B3;Agency Plant;Finance & Insurance;WC;Master Agent B;SE;1.08.2018;1.07.2018;2018;8747532;NY;12/31/2018;;1;4126,14;1;1;5094;4126,14
L6;Agency Plant;Finance & Insurance;WC;Master Agent L;SE;1.09.2018;1.07.2018;2018;70161995;KY;12/31/2018;;1;3483,65;1;1;3667;3483,65
K8;Agency Plant;Finance & Insurance;WC;Master Agent K;SE;1.10.2018;1.08.2018;2018;8504330;MO;12/31/2018;;1;2584,59;1;1;2559;2584,59
D5;Agency Plant;Finance & Insurance;WC;Master Agent D;SE;1.04.2018;1.09.2018;2018;104551978;NJ;12/31/2018;;1;1669,96;1;1;2012;1669,96
N6;Agency Plant;Finance & Insurance;WC;Master Agent N;SE;1.01.2018;1.10.2018;2018;104074155;KS;12/31/2018;;1;1265,53;1;1;1253;1265,53
B4;Agency Plant;Finance & Insurance;WC;Master Agent B;SE;1.03.2018;1.10.2018;2018;77911194;CA;12/31/2018;;1;2690,08;1;1;3128;2690,08
Q4;Agency Plant;Finance & Insurance;WC;Master Agent Q;SE;1.03.2018;1.10.2018;2018;84161102;NC;12/31/2018;;1;2445,42;1;1;2307;2445,42
L2;Agency Plant;Finance & Insurance;WC;Master Agent L;SE;1.08.2018;1.10.2018;2018;83992122;IL;12/31/2018;;1;3158,75;1;1;3325;3158,75
H7;Agency Plant;Finance & Insurance;WC;Master Agent H;SE;1.09.2018;1.10.2018;2018;14764289;TX;12/31/2018;;1;5624,85;1;1;5357;5624,85
Y6;Agency Plant;Finance & Insurance;WC;Master Agent Y;SE;1.12.2018;1.10.2018;2018;82321954;SC;12/31/2018;;1;3654,24;1;1;3972;3654,24
D6;Agency Plant;Finance & Insurance;WC;Master Agent D;SE;1.03.2018;1.11.2018;2018;81871062;TX;12/31/2018;;1;1788,28;1;1;2353;1788,28
T2;Agency Plant;Other;WC;Master Agent T;SE;1.08.2018;1.07.2018;2018;49411326;TN;12/31/2018;;1;3244,5;1;1;3090;3244,5
U2;Agency Plant;Other;WC;Master Agent U;SE;1.03.2018;1.12.2018;2018;62083885;OK;12/31/2018;;1;725,18;1;1;718;725,18
Y5;Agency Plant;Real Estate;WC;Master Agent Y;SE;1.09.2018;1.01.2018;2018;50904527;SC;12/31/2018;;1;5188,68;1;1;5964;5188,68
D3;Agency Plant;Real Estate;WC;Master Agent D;SE;1.07.2018;1.05.2018;2018;55094329;GA;12/31/2018;;1;6686,82;1;1;7686;6686,82
C7;Agency Plant;Real Estate;WC;Master Agent C;SE;1.03.2018;1.06.2018;2018;29632960;PA;12/31/2018;;1;8250,3;1;1;9167;8250,3
D6;Agency Plant;Real Estate;WC;Master Agent D;SE;1.08.2018;1.06.2018;2018;10115273;PA;12/31/2018;;1;7152,46;1;1;7609;7152,46
M4;Agency Plant;Real Estate;WC;Master Agent M;SE;1.11.2018;1.06.2018;2018;115782953;GA;12/31/2018;;1;15609,65;1;1;15155;15609,65
I2;Agency Plant;Real Estate;WC;Master Agent I;SE;1.09.2018;1.08.2018;2018;92003287;NY;12/31/2018;;1;4693,95;1;1;5795;4693,95
F4;Agency Plant;Real Estate;WC;Master Agent F;SE;1.06.2018;1.10.2018;2018;71724318;MI;12/31/2018;;1;12855,96;1;1;16482;12855,96
M7;Agency Plant;Restaurants;WC;Master Agent M;SE;1.02.2018;1.01.2018;2018;71631836;NC;12/31/2018;;1;8524,93;1;1;10271;8524,93
I2;Agency Plant;Restaurants;WC;Master Agent I;SE;1.09.2018;1.01.2018;2018;43291468;SC;12/31/2018;;1;11034,25;1;1;10925;11034,25
D1;Agency Plant;Restaurants;WC;Master Agent D;SE;1.04.2018;1.02.2018;2018;8352647;WI;12/31/2018;;1;8173,8;1;1;10755;8173,8
L5;Agency Plant;Restaurants;WC;Master Agent L;SE;1.04.2018;1.02.2018;2018;898241;IA;12/31/2018;;1;8077;1;1;9850;8077
M8;Agency Plant;Restaurants;WC;Master Agent M;SE;1.08.2018;1.02.2018;2018;43794085;NY;12/31/2018;;1;2432,41;1;1;3079;2432,41
R3;Agency Plant;Restaurants;WC;Master Agent R;SE;1.12.2018;1.02.2018;2018;93742248;SC;12/31/2018;;1;860,2;1;1;1012;860,2
Y2;Agency Plant;Restaurants;WC;Master Agent Y;SE;1.03.2018;1.03.2018;2018;105853450;WA;12/31/2018;;1;1407,84;1;1;1676;1407,84
M1;Agency Plant;Restaurants;WC;Master Agent M;SE;1.08.2018;1.03.2018;2018;82302605;FL;12/31/2018;;1;12067,38;1;1;15471;12067,38
K7;Agency Plant;Restaurants;WC;Master Agent K;SE;1.09.2018;1.03.2018;2018;120281924;IL;12/31/2018;;1;9498,97;1;1;10673;9498,97
F8;Agency Plant;Restaurants;WC;Master Agent F;SE;1.12.2018;1.03.2018;2018;8584548;SC;12/31/2018;;1;2779,04;1;1;3158;2779,04
V1;Agency Plant;Restaurants;WC;Master Agent V;SE;1.12.2018;1.06.2018;2018;49572390;SC;12/31/2018;;1;11604,06;1;1;13338;11604,06
L4;Agency Plant;Restaurants;WC;Master Agent L;SE;1.03.2018;1.07.2018;2018;15271901;MN;12/31/2018;;1;14727,64;1;1;13894;14727,64
O5;Agency Plant;Restaurants;WC;Master Agent O;SE;1.03.2018;1.07.2018;2018;80322982;FL;12/31/2018;;1;4508,9;1;1;4099;4508,9
U4;Agency Plant;Restaurants;WC;Master Agent U;SE;1.06.2018;1.07.2018;2018;53392263;ID;12/31/2018;;1;2381,4;1;1;2268;2381,4
O2;Agency Plant;Restaurants;WC;Master Agent O;SE;1.08.2018;1.07.2018;2018;109313107;NJ;12/31/2018;;1;9794,76;1;1;10532;9794,76
L6;Agency Plant;Restaurants;WC;Master Agent L;SE;1.09.2018;1.07.2018;2018;86552353;MD;12/31/2018;;1;4433,13;1;1;5473;4433,13
X3;Agency Plant;Restaurants;WC;Master Agent X;SE;1.12.2018;1.07.2018;2018;8561955;TX;12/31/2018;;1;13503;1;1;12860;13503
A2;Agency Plant;Restaurants;WC;Master Agent A;SE;1.02.2018;1.08.2018;2018;86871630;NC;12/31/2018;;1;12601,5;1;1;16802;12601,5
V8;Agency Plant;Restaurants;WC;Master Agent V;SE;1.03.2018;1.08.2018;2018;42772783;NY;12/31/2018;;1;6888,75;1;1;9185;6888,75
Q2;Agency Plant;Restaurants;WC;Master Agent Q;SE;1.05.2018;1.08.2018;2018;1709239;CA;12/31/2018;;1;5391;1;1;5990;5391
X1;Agency Plant;Restaurants;WC;Master Agent X;SE;1.08.2018;1.09.2018;2018;66453305;MN;12/31/2018;;1;10069,11;1;1;12431;10069,11
K2;Agency Plant;Restaurants;WC;Master Agent K;SE;1.09.2018;1.09.2018;2018;104523008;CA;12/31/2018;;1;8099,97;1;1;9759;8099,97
B4;Agency Plant;Restaurants;WC;Master Agent B;SE;1.01.2018;1.10.2018;2018;107303547;GA;12/31/2018;;1;15369;1;1;14100;15369
C3;Agency Plant;Restaurants;WC;Master Agent C;SE;1.04.2018;1.10.2018;2018;41721735;CT;12/31/2018;;1;5956,65;1;1;6405;5956,65
X3;Agency Plant;Restaurants;WC;Master Agent X;SE;1.05.2018;1.10.2018;2018;50671731;NY;12/31/2018;;1;1437,48;1;1;1452;1437,48
G3;Agency Plant;Restaurants;WC;Master Agent G;SE;1.09.2018;1.10.2018;2018;99591894;NY;12/31/2018;;1;6067,97;1;1;5671;6067,97
L1;Agency Plant;Restaurants;WC;Master Agent L;SE;1.09.2018;1.10.2018;2018;30801374;NC;12/31/2018;;1;5478;1;1;6600;5478
Z8;Agency Plant;Restaurants;WC;Master Agent Z;SE;1.09.2018;1.10.2018;2018;17252202;CT;12/31/2018;;1;2322,75;1;1;2445;2322,75
X3;Agency Plant;Restaurants;WC;Master Agent X;SE;1.10.2018;1.10.2018;2018;28313632;DE;12/31/2018;;1;4955,16;1;1;5899;4955,16
B7;Agency Plant;Restaurants;WC;Master Agent B;SE;1.12.2018;1.10.2018;2018;5786778;GA;12/31/2018;;1;5415,18;1;1;5309;5415,18
H3;Agency Plant;Restaurants;WC;Master Agent H;SE;1.12.2018;1.10.2018;2018;8580177;ID;12/31/2018;;1;12144,92;1;1;14122;12144,92
I8;Agency Plant;Restaurants;WC;Master Agent I;SE;1.09.2018;1.11.2018;2018;5900997;GA;12/31/2018;;1;14573;1;1;15340;14573
X6;Agency Plant;Restaurants;WC;Master Agent X;SE;1.09.2018;1.11.2018;2018;13734;IN;12/31/2018;;1;4324,59;1;1;5339;4324,59
L2;Agency Plant;Restaurants;WC;Master Agent L;SE;1.03.2018;1.12.2018;2018;71303841;NJ;12/31/2018;;1;11994,4;1;1;10904;11994,4
D3;Agency Plant;Retail Trade;WC;Master Agent D;SE;1.01.2018;1.01.2018;2018;13404157;PA;12/31/2018;;1;7150,81;1;1;6683;7150,81
C4;Agency Plant;Retail Trade;WC;Master Agent C;SE;1.08.2018;1.01.2018;2018;59502694;VA;12/31/2018;;1;6071,94;1;1;7686;6071,94
R4;Agency Plant;Retail Trade;WC;Master Agent R;SE;1.08.2018;1.01.2018;2018;3833366;OH;12/31/2018;;1;5644,18;1;1;6563;5644,18
X1;Agency Plant;Retail Trade;WC;Master Agent X;SE;1.09.2018;1.01.2018;2018;6753614;NY;12/31/2018;;1;5797,92;1;1;6168;5797,92
O1;Agency Plant;Retail Trade;WC;Master Agent O;SE;1.11.2018;1.01.2018;2018;15763170;GA;12/31/2018;;1;7086,1;1;1;6685;7086,1
N2;Agency Plant;Retail Trade;WC;Master Agent N;SE;1.07.2018;1.02.2018;2018;85224299;NC;12/31/2018;;1;1284,4;1;1;1352;1284,4
L5;Agency Plant;Retail Trade;WC;Master Agent L;SE;1.08.2018;1.02.2018;2018;48341281;LA;12/31/2018;;1;2147,42;1;1;2497;2147,42
N6;Agency Plant;Retail Trade;WC;Master Agent N;SE;1.08.2018;1.02.2018;2018;32991103;AZ;12/31/2018;;1;2559,36;1;1;2666;2559,36
V3;Agency Plant;Retail Trade;WC;Master Agent V;SE;1.09.2018;1.02.2018;2018;67104445;DE;12/31/2018;;1;3772,92;1;1;4101;3772,92
B3;Agency Plant;Retail Trade;WC;Master Agent B;SE;1.11.2018;1.02.2018;2018;14184053;TX;12/31/2018;;1;3642,06;1;1;3606;3642,06
Z7;Agency Plant;Retail Trade;WC;Master Agent Z;SE;1.02.2018;1.03.2018;2018;37314035;FL;12/31/2018;;1;2587,11;1;1;3117;2587,11
R3;Agency Plant;Retail Trade;WC;Master Agent R;SE;1.06.2018;1.03.2018;2018;122872922;OR;12/31/2018;;1;2762;1;1;2762;2762
P2;Agency Plant;Retail Trade;WC;Master Agent P;SE;1.07.2018;1.03.2018;2018;71842566;OK;12/31/2018;;1;1129,41;1;1;1269;1129,41
K3;Agency Plant;Retail Trade;WC;Master Agent K;SE;1.11.2018;1.03.2018;2018;54601625;TX;12/31/2018;;1;3379,53;1;1;4389;3379,53
E8;Agency Plant;Retail Trade;WC;Master Agent E;SE;1.09.2018;1.05.2018;2018;103643908;MD;12/31/2018;;1;2940,3;1;1;2673;2940,3
Z6;Agency Plant;Retail Trade;WC;Master Agent Z;SE;1.09.2018;1.05.2018;2018;11549925;TX;12/31/2018;;1;829,6;1;1;976;829,6
K4;Agency Plant;Retail Trade;WC;Master Agent K;SE;1.03.2018;1.06.2018;2018;77003809;TX;12/31/2018;;1;1056,44;1;1;1078;1056,44
